Loan Date Quarter,BorrowerState,LoanAmount
2010-Q2,WY,10500
2010-Q3,AK,11500
2010-Q3,AL,145550
2010-Q3,AR,54300
2010-Q3,AZ,78650
2010-Q3,CA,1174000
2010-Q3,CO,168250
2010-Q3,CT,123349
2010-Q3,DC,72100
2010-Q3,DE,16000
2010-Q3,FL,510120
2010-Q3,GA,389705
2010-Q3,HI,15500
2010-Q3,ID,44000
2010-Q3,IL,362300
2010-Q3,IN,255500
2010-Q3,KS,88100
2010-Q3,KY,80400
2010-Q3,LA,71700
2010-Q3,MA,180750
2010-Q3,MD,294301
2010-Q3,MI,233625
2010-Q3,MN,143550
2010-Q3,MO,210957
2010-Q3,MS,52800
2010-Q3,MT,9300
2010-Q3,NC,344301
2010-Q3,NE,19750
2010-Q3,NH,37100
2010-Q3,NJ,257500
2010-Q3,NM,37500
2010-Q3,NV,81700
2010-Q3,NY,575900
2010-Q3,OH,290650
2010-Q3,OK,77575
2010-Q3,OR,104799
2010-Q3,PA,176610
2010-Q3,RI,50000
2010-Q3,SC,93536
2010-Q3,SD,3000
2010-Q3,TN,194400
2010-Q3,TX,479525
2010-Q3,UT,102450
2010-Q3,VA,308650
2010-Q3,VT,5000
2010-Q3,WA,206800
2010-Q3,WI,129100
2010-Q3,WV,19000
2010-Q4,AK,32200
2010-Q4,AL,122499
2010-Q4,AR,59000
2010-Q4,AZ,117750
2010-Q4,CA,1469295
2010-Q4,CO,195200
2010-Q4,CT,236100
2010-Q4,DC,62777
2010-Q4,DE,63000
2010-Q4,FL,787083
2010-Q4,GA,508300
2010-Q4,HI,25200
2010-Q4,ID,17000
2010-Q4,IL,702165
2010-Q4,IN,228937
2010-Q4,KS,67500
2010-Q4,KY,89500
2010-Q4,LA,113900
2010-Q4,MA,258600
2010-Q4,MD,204050
2010-Q4,MI,186664
2010-Q4,MN,256350
2010-Q4,MO,297134
2010-Q4,MS,84200
2010-Q4,MT,33000
2010-Q4,NC,480500
2010-Q4,NE,36100
2010-Q4,NH,81100
2010-Q4,NJ,283351
2010-Q4,NM,54000
2010-Q4,NV,79900
2010-Q4,NY,844981
2010-Q4,OH,388330
2010-Q4,OK,41700
2010-Q4,OR,152300
2010-Q4,PA,363439
2010-Q4,RI,51000
2010-Q4,SC,131330
2010-Q4,SD,35850
2010-Q4,TN,209350
2010-Q4,TX,851480
2010-Q4,UT,69800
2010-Q4,VA,530225
2010-Q4,VT,15000
2010-Q4,WA,292333
2010-Q4,WI,227400
2010-Q4,WV,31500
2010-Q4,WY,3500
2011-Q1,AK,24500
2011-Q1,AL,225435
2011-Q1,AR,108364
2011-Q1,AZ,197828
